"code","name","state","district","subdivision","pop","tier","lat","lon","canonical"
"THANE","Thane","MAHARASHTRA","THANE","KONKAN & GOA",2600000,1,19.35,73.32,false
"THANJAVUR","Thanjavur","TAMILNADU","THANJAVUR","TAMILNADU, PUDUCHERRY & KARAIKAL",291067,2,10.79,79.1,false
"THENI","Theni","TAMILNADU","THENI","TAMILNADU, PUDUCHERRY & KARAIKAL",1034724,1,9.87,77.45,true
"THIMPHU","Thimphu","","","",,,27.47,89.75,true
"THIRUVETRIVUR","Thiruvetrivur","TAMILNADU","CHENNAI","TAMILNADU, PUDUCHERRY & KARAIKAL",4681087,1,13.15,80.29,true
"THOUBAL","Thoubal","MANIPUR","THOUBAL","NMMT",45947,3,24.65,94.02,true
"THR","Tehri","UTTARAKHAND","GARHWAL TEHRI","UTTARAKHAND",27611,3,30.4,78.48,true
"THRISSUR","Thrissur","KERALA","THRISSUR","KERALA & MAHE",315957,2,10.48,76.35,true
"TIKAMGARH","Tikamgarh","MADHYA PRADESH","TIKAMGARH","EAST MADHYA PRADESH",79106,3,25,78.89,false
"TINSUKIA","Tinsukia","ASSAM","TINSUKIA","ASSAM & MEGHALAYA",116322,3,27.59,95.62,false
"TIR","Palayankottai","TAMILNADU","TIRUNELVELI","TAMILNADU, PUDUCHERRY & KARAIKAL",1435844,1,8.73,77.75,true
"TIRAP","Tirap","ARUNACHAL PRADESH","TIRAP","ARUNACHAL PRADESH",,,26.95,95.54,false
"TIRUNELVELI","Tenkasi","TAMILNADU","TENKASI","TAMILNADU, PUDUCHERRY & KARAIKAL",90364,3,8.85,77.57,false
"TIRUPPUR","Tiruppur","TAMILNADU","TIRUPPUR","TAMILNADU, PUDUCHERRY & KARAIKAL",963173,2,10.79,77.5,true
"TIRUVALLUR","Thiruvallur","TAMILNADU","THIRUVALLUR","TAMILNADU, PUDUCHERRY & KARAIKAL",345996,2,13.26,80.07,true
"TIRUVANDRUM","Thiruvananthapuram","KERALA","THIRUVANANTHAPURAM","KERALA & MAHE",788271,2,8.57,76.97,false
"TIRUVANNAMALAI","Tiruvannamalai","TAMILNADU","TIRUVANNAMALAI","TAMILNADU, PUDUCHERRY & KARAIKAL",145278,3,12.55,79.15,true
"TIRUVARUR","Tiruvarur","TAMILNADU","TIRUVARUR","TAMILNADU, PUDUCHERRY & KARAIKAL",66999,3,10.65,79.52,true
"TKG","Tikamgarh","MADHYA PRADESH","TIKAMGARH","EAST MADHYA PRADESH",79106,3,24.77,78.83,true
"TMK","Tumakuru","KARNATAKA","TUMAKURU","SOUTHERN INTERIOR KARNATAKA",307359,2,13.33,77.08,true
"TND","Tondi","TAMILNADU","RAMANATHAPURAM","TAMILNADU, PUDUCHERRY & KARAIKAL",95579,3,9.73,79.03,true
"TNG","Tuensang","NAGALAND","TUENSANG","NMMT",36774,3,26.27,94.82,true
"TNI","Tuni","ANDHRA PRADESH","KAKINADA","COASTAL ANDHRA PRADESH & YANAM",384182,2,17.35,82.55,true
"TNJ","THANJAVUR","TAMILNADU","THANJAVUR","TAMILNADU, PUDUCHERRY & KARAIKAL",291067,2,10.78,79.13,true
"TNK","Tonk","RAJASTHAN","TONK","EAST RAJASTHAN",165294,3,26.17,75.75,true
"TONK","Tonk","RAJASTHAN","TONK","EAST RAJASTHAN",165294,3,26.12,75.72,false
"TPI","Tirupathi","ANDHRA PRADESH","TIRUPATI","RAYALSEEMA",295323,2,13.67,79.58,true
"TRA","West Garo Hills","MEGHALAYA","WEST GARO HILLS","ASSAM & MEGHALAYA",74858,3,25.52,90.23,true
"TRIBAL-TERRITY","Ladakh (LEH)","LADAKH (UT)","LADAKH (LEH)","JAMMU & KASHMIR AND LADAKH",37475,3,35.85,73.7,false
"TRICHY","Thiruchirapalli","TAMILNADU","THIRUCHIRAPALLI","TAMILNADU, PUDUCHERRY & KARAIKAL",1022518,1,10.94,78.69,true
"TRP","Tiruchirapalli","TAMILNADU","THIRUCHIRAPALLI","TAMILNADU, PUDUCHERRY & KARAIKAL",1022518,1,10.77,78.72,true
"TRR","TIRUPPATTUR","TAMILNADU","TIRUPATTUR","TAMILNADU, PUDUCHERRY & KARAIKAL",114608,3,12.48,78.57,true
"TRT","TIRUTTANI","TAMILNADU","THIRUVALLUR","TAMILNADU, PUDUCHERRY & KARAIKAL",345996,2,13.15,79.53,true
"TRV","Thiruvananthapuram","KERALA","THIRUVANANTHAPURAM","KERALA & MAHE",788271,2,8.48,76.95,true
"TTC","TUTICORIN NEW PORT","TAMILNADU","THOOTHUKUDI","TAMILNADU, PUDUCHERRY & KARAIKAL",410760,2,8.75,78.18,true
"TTG","Balangir","ODISHA","BALANGIR","ODISHA",98238,3,20.29,83.14,false
"TUENSANG","Tuensang","NAGALAND","TUENSANG","NMMT",36774,3,26.17,94.87,false
"TUMKUR","Tumakuru","KARNATAKA","TUMAKURU","SOUTHERN INTERIOR KARNATAKA",307359,2,13.55,76.93,false
"TUTICORIN","Thoothukudi","TAMILNADU","THOOTHUKUDI","TAMILNADU, PUDUCHERRY & KARAIKAL",410760,2,8.9,78,true
"TZP","Tezpur","ASSAM","SONITPUR","ASSAM & MEGHALAYA",75540,3,26.62,92.78,true
"Thane","Thane","MAHARASHTRA","THANE","KONKAN & GOA",2600000,1,19.2183,72.9781,true
"UDA","Udaipur","RAJASTHAN","UDAIPUR","EAST RAJASTHAN",451100,2,24.62,73.88,true
"UDAIPUR","Udaipur","RAJASTHAN","UDAIPUR","EAST RAJASTHAN",451100,2,24.47,73.73,false
"UDALGURI","Udalguri","ASSAM","UDALGURI","ASSAM & MEGHALAYA",17183,3,26.7,92.06,false
"UDHAMPUR","Udhampur","JAMMU & KASHMIR (UT)","UDHAMPUR","JAMMU & KASHMIR AND LADAKH",84015,3,32.9,75.38,false
"UDHAMSINGH-NGR","Udham Singh Nagar","UTTARAKHAND","UDHAM SINGH NAGAR","UTTARAKHAND",154554,3,28.95,79.75,true
"UDM","Udhampur","JAMMU & KASHMIR (UT)","UDHAMPUR","JAMMU & KASHMIR AND LADAKH",84015,3,32.91,75.17,false
"UDP","Udaipur","RAJASTHAN","UDAIPUR","EAST RAJASTHAN",451100,2,24.58,73.7,false
"UDUPI","Udupi","KARNATAKA","UDUPI","COASTAL KARNATAKA",165000,3,13.48,74.89,true
"UJJAIN","Ujjain","MADHYA PRADESH","UJJAIN","WEST MADHYA PRADESH",515215,2,23.3,75.69,false
"UJN","Ujjain","MADHYA PRADESH","UJJAIN","WEST MADHYA PRADESH",515215,2,23.18,75.78,true
"UKHIMATH","Ukhimath","UTTARAKHAND","RUDRAPRAYAG","UTTARAKHAND",,,30.51,79.09,true
"UKHRUL","Ukhrul","MANIPUR","UKHRUL","NMMT",27187,3,25.08,94.43,false
"ULB","Uluberia","WEST BENGAL","HOWRAH","GANGETIC WEST BENGAL",1027672,1,22.47,88.1,true
"UMARIA","Umaria","MADHYA PRADESH","UMARIA","EAST MADHYA PRADESH",33114,3,23.64,80.94,false
"UMR","Umaria","MADHYA PRADESH","UMARIA","EAST MADHYA PRADESH",33114,3,23.53,80.88,true
"UNA","Una","HIMACHAL PRADESH","UNA","HIMACHAL PRADESH",18722,3,31.58,76.21,true
"UNAKOTI","Unakoti","TRIPURA","UNAKOTI","NMMT",22405,3,24.18,92.06,true
"UNNAO","Unnao","UTTAR PRADESH","UNNAO","EAST UTTAR PRADESH",161671,3,26.57,80.55,true
"UPPER-DIBANG-VALLEY","Dibang Valley","ARUNACHAL PRADESH","DIBANG VALLEY","ARUNACHAL PRADESH",,,28.85,95.93,true
"UPPER-SIANG","Upper Siang","ARUNACHAL PRADESH","UPPER SIANG","ARUNACHAL PRADESH",,,28.95,94.8,true
"UPPER-SUBANSIRI","Upper Subansiri","ARUNACHAL PRADESH","UPPER SUBANSIRI","ARUNACHAL PRADESH",,,28.38,93.8,true
"USI","Lucknow (Airport)","UTTAR PRADESH","LUCKNOW","EAST UTTAR PRADESH",2472011,1,26.75,80.88,true
"UTK","Uttarkashi","UTTARAKHAND","UTTARKASHI","UTTARAKHAND",17123,3,30.73,78.45,true
"UTM","UDHAGAMANDALAM","TAMILNADU","NILGIRIS","TAMILNADU, PUDUCHERRY & KARAIKAL",233426,2,11.4,76.73,true
"UTTARKANNAD","Uttara Kannada","KARNATAKA","UTTARA KANNADA","COASTAL KARNATAKA",77139,3,14.73,74.58,true
"UTTARKASHI","Uttarkashi","UTTARAKHAND","UTTARKASHI","UTTARAKHAND",17123,3,30.97,78.58,false
"Udgir","Udgir","MAHARASHTRA","LATUR","MARATHWADA",382940,2,18.3943,77.1126,true
"VAISHALI","Vaishali","BIHAR","VAISHALI","BIHAR",147688,3,25.75,85.35,true
"VALSAD","Valsad","GUJARAT","VALSAD","GUJARAT REGION",163630,3,20.43,73.11,true
