"code","station","state","district","subdivision","lat","lon","canonical"
"BILASPUR","Gaurela-pendra-marwahi","CHHATTISGARH","GAURELA-PENDRA-MARWAHI","CHHATTISGARH",22.62,82,true
"BILASPUR-HP","Bilaspur","HIMACHAL PRADESH","BILASPUR","HIMACHAL PRADESH",31.35,76.66,false
"BIR","Beed","MAHARASHTRA","BEED","MARATHWADA",19,75.72,true
"BIRBHUM","Birbhum","WEST BENGAL","BIRBHUM","GANGETIC WEST BENGAL",23.85,87.56,true
"BISHNUPUR","Bishnupur","MANIPUR","BISHNUPUR","NMMT",24.51,93.8,true
"BISWANATH","Sonitpur","ASSAM","SONITPUR","ASSAM & MEGHALAYA",26.89,93.42,true
"BITRA","Bitra","LAKSHADWEEP (UT)","LAKSHADWEEP","LAKSHADWEEP",11.55,72.15,true
"BJC_CHA","Bijapur","CHHATTISGARH","BIJAPUR","CHHATTISGARH",18.77,80.74,true
"BJP","Vijayapura","KARNATAKA","VIJAYAPURA","NORTHERN INTERIOR KARNATAKA",16.82,75.72,true
"BKN","Bikaner","RAJASTHAN","BIKANER","WEST RAJASTHAN",28,73.3,true
"BLA","Ballia","UTTAR PRADESH","BALLIA","EAST UTTAR PRADESH",25.75,84.17,true
"BLD","Dantewada","CHHATTISGARH","DANTEWADA","CHHATTISGARH",18.71,81.23,true
"BLG","Belagavi","KARNATAKA","BELAGAVI","NORTHERN INTERIOR KARNATAKA",15.85,74.62,true
"BLN","Chikkamagaluru","KARNATAKA","CHIKKAMAGALURU","SOUTHERN INTERIOR KARNATAKA",13.37,75.45,true
"BLR","Bolangir","ODISHA","BALANGIR","ODISHA",20.7,83.5,true
"BLS","Balasore","ODISHA","BALASORE","ODISHA",21.52,86.93,true
"BLW","Bhilwara","RAJASTHAN","BHILWARA","EAST RAJASTHAN",25.35,74.63,true
"BLY","Ballari","KARNATAKA","BALLARI","SOUTHERN INTERIOR KARNATAKA",15.15,76.85,false
"BMB","Mumbai (Santacruz)","MAHARASHTRA","MUMBAI SUBURBAN","KONKAN & GOA",19.12,72.83,true
"BMD","East Kameng","ARUNACHAL PRADESH","EAST KAMENG","ARUNACHAL PRADESH",27.42,92.85,true
"BMP","Brahmapuri","MAHARASHTRA","CHANDRAPUR","VIDARBHA",20.6,79.85,true
"BMT","BARAMATI","MAHARASHTRA","PUNE","MADHYA MAHARASHTRA",18.15,74.58,true
"BND","Bhind","MADHYA PRADESH","BHIND","WEST MADHYA PRADESH",26.57,78.8,true
"BNG","Bengaluru","KARNATAKA","BENGALURU URBAN","SOUTHERN INTERIOR KARNATAKA",12.97,77.58,true
"BNG-URBAN","Bengaluru Rural","KARNATAKA","BENGALURU RURAL","SOUTHERN INTERIOR KARNATAKA",12.94,77.78,false
"BNK","Bankura","WEST BENGAL","BANKURA","GANGETIC WEST BENGAL",23.25,87.05,true
"BNL","Banihal","JAMMU & KASHMIR (UT)","RAMBAN","JAMMU & KASHMIR AND LADAKH",33.43,75.19,true
"BNT","Kullu","HIMACHAL PRADESH","MANDI","HIMACHAL PRADESH",31.83,77.17,true
"BOKARO","Bokaro","JHARKHAND","BOKARO","JHARKHAND",23.69,86.01,true
"BONGAIGAON","Bongaigaon","ASSAM","BONGAIGAON","ASSAM & MEGHALAYA",26.35,90.62,true
"BOTAD","Botad","GUJARAT","BOTAD","SAURASHTRA & KUTCH",22.15,71.75,true
"BPD","Baripada","ODISHA","MAYURBHANJ","ODISHA",21.93,86.77,true
"BPT","Bapatla","ANDHRA PRADESH","BAPATLA","COASTAL ANDHRA PRADESH & YANAM",15.9,80.47,true
"BRA","Raigad","MAHARASHTRA","RAIGAD","KONKAN & GOA",18.45,73.4,true
"BRC","Bahraich","UTTAR PRADESH","BAHRAICH","EAST UTTAR PRADESH",27.57,81.6,true
"BRD","Vadodara","GUJARAT","VADODARA","GUJARAT REGION",22.3,73.25,true
"BRH","Bharuch","GUJARAT","BHARUCH","GUJARAT REGION",21.73,73,true
"BRL","Bareilly","UTTAR PRADESH","BAREILLY","WEST UTTAR PRADESH",28.37,79.4,true
"BRM","Barmer","RAJASTHAN","BARMER","WEST RAJASTHAN",25.75,71.38,true
"BROACH","Bharuch","GUJARAT","BHARUCH","GUJARAT REGION",21.73,73,false
"BRP","Baharampur","WEST BENGAL","MURSHIDABAD","GANGETIC WEST BENGAL",24.13,88.27,true
"BRT","Bharatpur","RAJASTHAN","BHARATPUR","EAST RAJASTHAN",27.22,77.5,true
"BST","Basti","UTTAR PRADESH","BASTI","EAST UTTAR PRADESH",26.8,82.73,false
"BSW","Banswara","RAJASTHAN","BANSWARA","EAST RAJASTHAN",23.55,74.45,true
"BTD","Bhatinda","PUNJAB","BHATINDA","PUNJAB",30.21,74.94,true
"BTL","Betul","MADHYA PRADESH","BETUL","WEST MADHYA PRADESH",21.87,77.93,true
"BTT","Udhampur","JAMMU & KASHMIR (UT)","UDHAMPUR","JAMMU & KASHMIR AND LADAKH",33.07,75.19,true
"BUL","BULSAR","GUJARAT","VALSAD","GUJARAT REGION",20.62,72.93,true
